What should you do before using the calculator on a vector problem?	Check the angle and imagine or draw the arrow.
What should you do before calculating the angle from components?	Make the direction phrase correct first.
What is the vector workflow?	Read carefully, imagine the arrow, identify signs, name quadrant, find magnitude, find angle, write final answer.
What mistake happened with 18 m at 10°?	The problem was misread as the previous steep 80° vector.
What is the fix for misreading vector angles?	Angle check first.
What is the anti-plug-and-chug rule?	Start with the arrow, not the formula.
What does understanding give that plug-and-chug does not?	A way to check if the answer physically makes sense.
What is a common sign mistake with down and right?	Calling x negative and y positive; correct is x positive and y negative.
What does down and right mean?	+x, -y, Quadrant IV.
What does left and up mean?	-x, +y, Quadrant II.
What does left and down mean?	-x, -y, Quadrant III.
What does right and up mean?	+x, +y, Quadrant I.
When do x and y components match?	At 45° above horizontal.
When is x bigger than y for a vector above horizontal?	When the angle is below 45°.
When is y bigger than x for a vector above horizontal?	When the angle is above 45°.
Why was “to the right of starting position” corrected?	Because direction is not a place; direction is the way the vector points.
Clean phrase for positive velocity direction	“To the right” or “in the positive x-direction.”
What is the slow-down rule for vectors?	Signs first, quadrant second, magnitude third, angle last.
What is the lock phrase for angle calculation?	Do not calculate the angle until the direction phrase is correct.
What is the lock phrase for components?	Components are the legs of the triangle hidden inside the vector.
