id,naics,business_type,company,technology,tech_category,workflow_step,use_description,reported_effect,effect_type,claim_type,source_url,date_collected,notes
1,238220,commercial HVAC,Interstate AC,ServiceTitan,FSM platform,7-invoice-payment,Replaced manual billing and equipment tracking with one field service platform,Revenue +33%; billing time cut 2-3 weeks; payroll to 24 hours,revenue+cycle-time,vendor-case-study,https://www.servicetitan.com/case-studies/interstate-ac,2026-07-18,Directly hits the Day 1 root-cause pattern: durable record at point of work
2,238220,commercial HVAC,ENCON Heating & AC,ServiceTitan,FSM platform,5-work-performed,Technician scheduling and efficiency tracking,Tech efficiency 60-65% to 70%,labor-efficiency,vendor-case-study,https://www.servicetitan.com/case-studies/encon,2026-07-18,
3,238220,commercial HVAC/plumbing,industry (ServiceTitan commercial customers),ServiceTitan,FSM platform,all-steps,Full workflow platform adoption over multiple years,Avg revenue +21% in first two years,revenue,vendor-claimed,https://www.servicetitan.com/blog/success-story-five-year-club-commercial-customers,2026-07-18,Aggregate vendor claim - weaker than named case study
4,238220,residential HVAC,Bill Joplin's Air Conditioning,ServiceTitan AI Agent,AI voice agent,1-first-contact,AI answers inbound calls and books jobs without human agents,>90% of 1300+ inbound calls converted to booked jobs,booking-rate,vendor-case-study,https://simplywall.st/stocks/us/software/nasdaq-ttan/servicetitan/news/servicetitan-ai-agent-case-links-automation-gains-to-stock-a,2026-07-18,Reported via financial press citing company data
5,238220,plumbing,Bayshore Plumbing,Housecall Pro,FSM platform,all-steps,Business management platform through growth phase,Grew 13 to 42 employees; tripled income,revenue+headcount,vendor-testimonial,https://www.housecallpro.com/about/testimonials-reviews/,2026-07-18,Growth not attributable to software alone
6,238220,home services,unnamed Housecall Pro customer,Housecall Pro,FSM platform,1-first-contact,Online booking and job management,Jobs booked +90% year over year,booking-rate,vendor-testimonial,https://www.housecallpro.com/about/testimonials-reviews/,2026-07-18,
7,238220,residential HVAC/plumbing,unnamed (switched from answering service),Avoca,AI voice agent,1-first-contact,Replaced traditional answering service with AI call handling,Booking rate 40% to 95%,booking-rate,vendor-case-study,https://getavoca.ai/blog/avocas-ai-answers-the-phones-100-of-the-time-tyson-chen-avoca-rilla-labs-episode-15,2026-07-18,Avoca raised $125M at $1B valuation Apr 2026 - market validation of the category
8,238220,residential HVAC,Yost & Campbell,Avoca,AI voice agent,1-first-contact,AI captures calls previously lost or missed,Revenue +20% YoY primarily from captured calls,revenue,vendor-case-study,https://www.avoca.ai/,2026-07-18,Missed-call capture = the money leak at step 1
9,238220,residential HVAC,industry (Rilla users),Rilla,AI sales coaching,2-site-visit,Records in-home appointment audio; AI analyzes sales conversations vs ride-alongs,~70000 recorded appointments; process adherence correlates with outcomes,sales-conversion,vendor-claimed,https://hvac-blog.acca.org/ai-implementation-moves-from-experimental-to-operational-in-hvacr-industry/,2026-07-18,Cited via ACCA trade association blog
10,238220,field service (cross-industry),industry-wide,FSM software (any),FSM platform,cross-cutting,Track and dispatch field technicians,48% of employers use FSM systems,adoption-rate,survey-aggregator,https://fieldservicesoftware.io/blog/field-service-management-software-statistics/,2026-07-18,Third-party stat roundup - verify primary source before citing to a client
