What are the three fundamental quantities in mechanics?	Length, mass, and time.
What are the SI units for length, mass, and time?	Meter, kilogram, and second.
What is a standard of measurement?	A defined reference used so measurements are consistent and repeatable.
Why must measurement standards not change?	So measurements mean the same thing across time and location.
What is length?	The dimension between two points in space.
What is the SI unit of length?	Meter.
What is mass?	The amount of matter in an object, or how much it resists changes in motion.
What is the SI unit of mass?	Kilogram.
What is time?	An instant relative to a reference time.
What is a time interval?	A duration between two times.
What is the SI unit of time?	Second.
What is a fundamental quantity?	A quantity that cannot be defined in terms of more basic quantities.
What is a derived quantity?	A quantity made from fundamental quantities.
What is density?	Mass per unit volume.
What is the density equation?	ρ = m / V.
What does ρ mean in the density equation?	Density.
What does m mean in the density equation?	Mass.
What does V mean in the density equation?	Volume.
What is dimensional analysis?	Checking or solving with units by treating dimensions like algebraic quantities.
What does dimensional analysis check?	Whether units or dimensions match on both sides of an equation.
What is the basic unit-conversion method?	Multiply by conversion factors so unwanted units cancel.
What are significant figures?	Digits in a measurement that show precision.
Are leading zeros significant?	No.
When should you round in a long calculation?	At the end, not in the middle.
What is the multiplication and division significant figures rule?	The final answer uses the same number of significant figures as the value with the fewest significant figures.
