What is physics?	The study of the fundamental principles of the universe, especially matter, energy, motion, and forces.
What is classical mechanics?	The branch of physics dealing with the motion of large objects compared with atoms.
Why does engineering care about physics?	Physics gives the principles used to model and predict real physical systems.
What is a model in physics?	A simplified substitute for a real problem that lets us analyze it more easily.
What is a geometric model?	A model that turns a real situation into a geometric shape, often a triangle.
What is a particle model?	Treating an object as if all its mass is at one point, ignoring size and internal details.
When can the particle model be used?	When the object's size and internal processes do not matter for the motion being analyzed.
What is a representation in physics?	A way of showing the same problem, such as words, a picture, a graph, a table, or an equation.
What is a mental representation?	Imagining the physical scene described by the problem before solving.
What is a pictorial representation?	A drawing of what the physical situation looks like.
What is a simplified pictorial representation?	A cleaned-up drawing that removes unnecessary details and keeps only what matters.
What is a graphical representation?	A graph that shows how quantities relate, such as position versus time.
What is a tabular representation?	Information organized in a table.
What is a mathematical representation?	An equation or set of equations that describes the physical situation.
What is the main physics habit?	See the object in space first; then let the math describe it.
What is the anti-plug-and-chug rule?	Start with the physical picture, not the formula.
