What is Chapter 2 mainly about?	Describing motion in a straight line.
What is position?	Where an object is relative to an origin.
What is the origin?	The zero point of the coordinate system.
What is displacement?	Change in position.
What is the displacement equation?	Δx = xf - xi.
What does Δx mean?	Change in position, or displacement.
What does xi mean?	Initial position.
What does xf mean?	Final position.
Does displacement care about the path traveled?	No. It only cares about final position minus initial position.
What is average velocity?	Displacement divided by time interval.
What is the average velocity equation?	vavg = Δx / Δt.
What does Δt mean?	Change in time, or time interval.
What is velocity?	How fast position changes, including direction.
What is speed?	How fast something moves, without requiring direction.
What is acceleration?	Change in velocity divided by change in time.
What is the acceleration equation?	a = Δv / Δt.
What does positive motion usually mean in one-dimensional motion?	Motion in the positive direction, often to the right.
What does negative motion usually mean in one-dimensional motion?	Motion in the negative direction, often to the left.
Is direction the same as position?	No. Direction is the way something points or moves.
Is “to the right of starting position” the clean way to describe direction?	No. Say “to the right” or “in the positive x-direction.”
What is the clean way to describe velocity direction?	Say the speed and the direction, such as “15 m/s to the right.”
